title,brief_description,full_description,url,location,salary_range,job_type,contract_type,position_name,industry,required_education,time_length,hours,date_parsed
Heftruckchauffeur dagdienst,"Wil jij werken als logistiek medewerker in de dagdienst en een salaris van €2.700,- verdienen?","Jij komt terecht bij een marktleider in haar segment. Een grote internationale speler met een grote naam waar jij zorg mag dragen voor verschillende logistieke processen. Door de vele afdelingen zullen jou ook veel kansen geboden worden om door te groeien binnen de fabriek. Een mooi, uitdagende functie met kansen!",https://www.pro-industry.nl/vacature/heftruckchauffeur-dagdienst-P074048,Delft,€2.300-2.600,Dagdienst,Tijdelijk met uitzicht op vast,Logistiek,"Metaal, transport en logistiek",basisonderwijs,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,Van productiemedewerker doorgroeien naar operator.,Ben jij een ervaren productiemedewerker die toe is aan een nieuwe uitdaging? Bij deze baan kom jij te werken in de graphimedia en heb jij een uitdagende baan. Als beginnend operator leer je hier de fijne kneepjes van het vak en krijg je de kansen om door te groeien binnen het bedrijf. Dus wil jij doorgroeien naar een uitdagende baan als operator? Lees dan snel verder!,https://www.pro-industry.nl/vacature/operator-P074180,Oss,€1.900-2.300,2 ploegendienst,Tijdelijk met uitzicht op vast,"Procesoperator, productie, machineoperator",Papier en karton,mbo niveau 1,,40 uur,2022-12-19 19:37:33.192229
Allround packaging operator,Heb jij altijd al willen werken als operator?,"Heb jij altijd al willen werken bij een groot bedrijf binnen de voedingsmiddelen? Dan is deze vacature echt iets voor jou! In de functie van procesoperator ben je verantwoordelijk voor het bedienen, controleren, regelen en bijsturen van de productielijnen. Daarnaast is het uitvoeren van controlewerkzaamheden, het verhelpen van kleine storingen en het zo nodig assisteren van de afdeling technische dienst is een onderdeel van de taken. Je rapporteert dagelijks aan de Supervisor. Je gaat hier aan de slag in de vijf ploegendienst en kan hier een mooi brutomaandsalaris verdienen tot wel €3200,- per maand inclusief ploegentoeslag. Interesse? Lees dan snel verder.",https://www.pro-industry.nl/vacature/allround-packaging-operator-P074181,Bergen op zoom,€3.200-3.600,5 ploegendienst,Vast contract,"Procesoperator, machineoperator","Verpakking, voedingsmiddelen",mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Heftruckchauffeur,"Tot aan € 2.700,- p/m - Logistiek - 3-ploegendienst","Lekker aan de slag als heftruckchauffeur? In deze productieomgeving ga je als heftruckchauffeur aan de slag bij een grote en aantoonbare producent in de dierenvoeding. Deze werkgever steekt tijd en energie in hun werknemers zodat ze genoeg kansen krijgen om te ontwikkelen. Nog niet in het bezit van een reachtruckcertificaat maar wil je die wel graag behalen? Bij ons kan het! Als heftruckchauffeur werk je in de 3-ploegendienst. Het salaris gaat tot € 2.700,- bruto per maand. Lees verder voor meer info!",https://www.pro-industry.nl/vacature/heftruckchauffeur-P074182,Zwolle,€2.400-2.700,3 ploegendienst,Tijdelijk met uitzicht op vast,Logistiek,Diervoeding,mbo niveau 1,,40 uur,2022-12-19 19:37:33.192229
Procesoperator,Sta aan de basis van hoogwaardige productoplossingen voor de jacht- en autobouw! Bekijk hier jouw uitdaging als procesoperator!,"Altijd al aan de slag gewild bij een bedrijf waar ze hoogwaardige productoplossingen maken voor wereldwijde A-merken zoals Bugatti, Porsche, Lamborghini, Audi, Ferrari? De producten worden niet alleen in de auto- en jachtbouwindustrie verwerkt, maar ook in veel kabel-, windmolen-, verpakkings- en luchtmolenoplossingen over de hele wereld!
Verdien een salaris tot wel € 3.100,-  bruto per maand inclusief toeslagen in de 3-ploegendienst! Meer weten? Lees dan snel verder!",https://www.pro-industry.nl/vacature/procesoperator-P074183,Veenendaal,€2.600-3.100,3 ploegendienst,Tijdelijk met uitzicht op vast,"Procesoperator, productie, machineoperator, technisch overig",Automotive,mbo niveau 2,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,"Doorgroeimogelijkheden - 5-ploegendienst - Tot € 2.900,- per maand","Op zoek naar een functie als operator waarin jij alle kneepjes van het vak kan leren? Als operator ga je aan de slag met het produceren van een hoogwaardig product. Ze bieden verschillende cursussen en opleidingen aan om jou verder te helpen ontwikkelen. Je komt binnen een hecht team te werken. Op de werkvloer heerst een informele sfeer. Als operator kun je tot € 2.900,- bruto inclusief ploegentoeslagen verdienen. Zie jij jezelf als onze toekomstige operator? Lees dan snel verder!",https://www.pro-industry.nl/vacature/operator-P074184,"Zwolle, nederland",€2.500-3.200,5 ploegendienst,Tijdelijk met uitzicht op vast,"Productie, machineoperator",Chemie,mbo niveau 1,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Productiemedewerker,Wil jij aan de slag als technisch productiemedewerker bij een warme en stabiele organisatie?,"Leg jij als technisch productiemedewerker snel &quot;verbanden&quot; tussen verschillende onderdelen? Dit bedrijf binnen de de kunststofindustrie maakt in een 2-ploegendienst verschillende producten die je overal te wereld ziet, je gaat namelijk transportbanden produceren. De banden worden hier o.a. afgewerkt, versneden, versmolten en getest tot eind product. Naast dat je hier een persoonlijk intern inwerktraject kunt ontvangen kun je hier een salaris tot € 2.550,- bruto per maand, inclusief 15% ploegentoeslag verdienen! Ben jij technisch ingesteld en beschik je over een goede motivatie? Lees dan heel snel verder!",https://www.pro-industry.nl/vacature/productiemedewerker-P074054,Zaandam,€2.200-2.550,2 ploegendienst,Tijdelijk met uitzicht op vast,"Productie, technisch overig",Rubber en kunststof,vmbo,,40 uur,2022-12-19 19:37:33.192229
Procesoperator,Volcontinu - € 4.500 bruto - Chemisch,Als procesoperator een salaris verdienen tot €4.500 in de 5 ploegendienst? Dat is mogelijk! Binnen het proces heb je verschillende deelprocessen die zich bezighouden met het produceren van het product. Het doel is om jou allround te maken binnen het proces. Zet je beste beentje voor en wordt allround procesoperator binnen de fabriek!,https://www.pro-industry.nl/vacature/procesoperator-P074187,Spijkenisse,€3.000-4.200,5 ploegendienst,Tijdelijk met uitzicht op vast,Procesoperator,Chemie,mbo niveau 4,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,"3-ploegendienst - Innovatief bedrijf - Vanaf € 2200,- excl. toeslagen","Voor een opdrachtgever in de kunstofindustrie zijn wij op zoek naar operators in de 3-ploegendienst aan de slag willen gaan. Bij dit bedrijf werk je alleen doordeweeks voor 37,5 uur in de week. Je kan een mooi salaris verdienen vanaf € 2200,- excl. toeslagen.
Dit bedrijf produceert diverse kunstof producten die we allemaal in ons dagelijks leven tegenkomen. Dit bedrijf is dan ook onderdeel van een grote internationale organisatie. Om de producten te produceren werken ze op deze locatie met 15 productielijnen, elk uniek en voor een ander product ontworpen. Om deze producten te produceren heb je als operator een goed oog voor details nodig. Het kleinste details kan namelijk een probleem vormen waardoor de productie mislukt. Werk je nauwkeurig en hou je ervan op details te letten? Dan is deze functie geschikt voor jou!",https://www.pro-industry.nl/vacature/operator-P074315,Gouda,€2.600-2.950,3 ploegendienst,Tijdelijk met uitzicht op vast,Machineoperator,Rubber en kunststof,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,Ben jij de gedreven operator die wij zoeken?!,"Wil jij in de levensmiddelenindustrie als operator in de ploegendienst aan de slag? Dan is dit een mooie uitdaging voor jou
Bij deze functie hoort een bijpassend salaris €2800,- bruto per maand!

Als operator ga jij aan de slag bij een bedrijf dat zich bezighoudt met het produceren van zoete levensmiddelen. Denk daarbij aan  mueslirepen en granenrepen. Dagelijks hou jij je bezig met het nastreven van de productieplanning terwijl je werkzaam bent aan de productielijn. Ook zal jij diverse administratieve taken op je nemen.

Is jouw interesse gewekt? Twijfel niet en lees snel verder!",https://www.pro-industry.nl/vacature/operator-P074316,Leiden,€2.100-2.800,2 ploegendienst,Tijdelijk met uitzicht op vast,Procesoperator,Voedingsmiddelen,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,Wil jij aan de slag als procesoperator bij een toonaangevende organisatie?,"Wil jij in de voedingsmiddelenindustrie als operator in de dagdienst aan de slag? Dan is dit wellicht een mooie uitdaging voor jou. Dit werk gaat natuurlijk niet onbeloond jij gaat als operator €2700,- bruto per maand verdienen!

Jij gaat als operator aan de slag bij een toongevende   producent van plantaardige vleesproducten. Jij zal in een hypermoderne werkomgeving komen te werken. Als operator ga jij je bezighouden het bijvullen en het bedienen van moderne productie machines. Ook het opbouwen van de machines en vervolgens proefdraaien voorafgaand aan productie behoort tot jouw werkzaamheden. Daarnaast zorg je voor een juiste toevoer van ingrediënten, welke deels geautomatiseerd worden getransporteerd door de fabriek. Dit werk doe jij niet alleen. Jij zal dit samen gaan doen met collega´s.

Is jouw interesse gewekt? Twijfel dan niet en lees snel verder!",https://www.pro-industry.nl/vacature/operator-P074317,Zoeterwoude,€2.400-2.700,2 ploegendienst,Tijdelijk met uitzicht op vast,Machineoperator,Voedingsmiddelen,mbo niveau 1,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,"3-ploegendienst - Innovatief bedrijf - Vanaf € 2200,- excl. toeslagen","Voor een opdrachtgever in de kunstofindustrie zijn wij op zoek naar operators in de 3-ploegendienst aan de slag willen gaan. Bij dit bedrijf werk je alleen doordeweeks voor 37,5 uur in de week. Je kan een mooi salaris verdienen vanaf € 2200,- excl. toeslagen.
Dit bedrijf produceert diverse kunstof producten die we allemaal in ons dagelijks leven tegenkomen. Dit bedrijf is dan ook onderdeel van een grote internationale organisatie. Om de producten te produceren werken ze op deze locatie met 15 productielijnen, elk uniek en voor een ander product ontworpen. Om deze producten te produceren heb je als operator een goed oog voor details nodig. Het kleinste details kan namelijk een probleem vormen waardoor de productie mislukt. Werk je nauwkeurig en hou je ervan op details te letten? Dan is deze functie geschikt voor jou!",https://www.pro-industry.nl/vacature/operator-P074318,Leiden,€2.600-2.950,3 ploegendienst,Tijdelijk met uitzicht op vast,Machineoperator,Rubber en kunststof,vmbo,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Logistiek medewerker,Wil jij aan de slag als magazijnmedewerker in de farmaceutische industrie?,"Aan de slag als logistiek medewerker in de 2-ploegendienst binnen de logistiek bij een farmaceutisch bedrijf? Je bent verantwoordelijk voor een optimale goederenstroom. Verder werk je volgens gestelde kwaliteitseisen en servicelevels en beschik je over de juiste ervaring binnen de logistiek. Ben jij per direct beschikbaar en wil je een bruto maandsalaris tot wel € 3.100,- verdienen op basis van je ervaring en kennis? Lees dan snel verder!",https://www.pro-industry.nl/vacature/logistiek-medewerker-P075060,Amsterdam,€2.200-3.100,2 ploegendienst,Tijdelijk met uitzicht op vast,Logistiek,"Farmacie, transport en logistiek",mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,Voedingsmiddelenindustrie - Uitzicht op vast contract - 2-ploegendienst,"Werk jij graag als operator binnen een dynamisch en gezellig bedrijf binnen de voedingsmiddelen industrie?
Als operator wordt je binnen dit bedrijf volledig intern opgeleid. Omdat dit bedrijf op een unieke wijze werkt hebben ze een eigen inwerk programma ontwikkeld. De eerste maand werk je dan ook in de dagdienst, maar ontvang je wel een 2-ploegendienst salaris. Vervolgens ga je meelopen in de 2-ploegen en krijg je steeds meer verantwoordelijkheden. Operators werken binnen dit bedrijf allround, wat wil zeggen dat geen dag dezelfde is. Door de gezellige werksfeer en afwisselende werkzaamheden werken de collega's ook gemiddeld al 15 jaar bij dit bedrijf. Wil je aan de slag als operator, dan kan je tot € 2700 per maand exclusief toeslagen verdienen.",https://www.pro-industry.nl/vacature/operator-P074320,Leiden,€2.300-2.700,"2 ploegendienst, 3 ploegendienst",Tijdelijk met uitzicht op vast,Machineoperator,Voedingsmiddelen,mbo niveau 1,,40 uur,2022-12-19 19:37:33.192229
Productiemedewerker,"Productiemedewerker, dagdienst in Hengelo!","Ben jij een fysiek sterk persoon en op zoek naar een nieuwe uitdaging, dan is dit wellicht jou nieuwe uitdaging. Je zal in dagdienst komen te werken bij een organisatie gevestigd in Hengelo. Jou functie is het produceren van betonproducten. Vind jij het leuk om in een productieomgeving te werken, bekijk dan snel de verantwoordelijkheden die jij krijgt en wat er van jou wordt verwacht.",https://www.pro-industry.nl/vacature/productiemedewerker-P073793,Almelo,€1.900-2.300,Dagdienst,Tijdelijk met uitzicht op vast,Productie,Beton en keramisch,vmbo,,40 uur,2022-12-19 19:37:33.192229
Productiemedewerker,"Productiemedewerker, dagdienst in Hengelo!","Ben jij een fysiek sterk persoon en op zoek naar een nieuwe uitdaging, dan is dit wellicht jou nieuwe uitdaging. Je zal in dagdienst komen te werken bij een organisatie gevestigd in Hengelo. Jou functie is het produceren van betonproducten. Vind jij het leuk om in een productieomgeving te werken, bekijk dan snel de verantwoordelijkheden die jij krijgt en wat er van jou wordt verwacht.",https://www.pro-industry.nl/vacature/productiemedewerker-P073794,Enschede,€2.000-2.300,Dagdienst,Tijdelijk met uitzicht op vast,Productie,Beton en keramisch,vmbo,,40 uur,2022-12-19 19:37:33.192229
Pilot plant operator,Responsible for operating a pilot plant for CO2 capturing,"For our valued client we are looking for an experienced pilot plant operator with the right skillset, attitude, experiences and degrees. In this role you will be a key person in a pilot plant where your daily input will be highly appreciated.

The pilot plant operator will be part of a team which will operate a Shell-owned 1 ton per day CO2 capture pilot plant, which will treat a stream of flue gas from BMC’s biomass fired power plant. The purpose of this pilot plant project is to de-risk and prove performance of a breakthrough solid adsorbent stacked fluidized bed technology for CO2 capture, sufficiently to support investment in the next phase of the technology development, which would be a large scale (~100X) technology demonstration project at BMC.",https://www.pro-industry.nl/vacature/pilot-plant-operator-P075064,Moerdijk,€3.500-4.500,5 ploegendienst,Tijdelijk met uitzicht op vast,Procesoperator,"Chemie, energie en afval",mbo niveau 4,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Productiemedewerker,Kan jij onder tijdsdruk kwantitatief en kwalitatief een goed eindproduct leveren? Lees dan snel verder!,"Wil jij als productiemedewerker in de 3 ploegen aan de slag bij dit aantoongevend bedrijf? Ben jij iemand die graag zijn handen uit de mouwen steekt? Een mooi salaris kan verdienen dat kan oplopen tot €2.800,- bruto per maand?Je gaat werken bij één van de marktleiders op het gebied van industriële verpakkingen en bijbehorende diensten. Op de locatie in Ede worden IBC's (plastic vaten) geproduceerd en hieromheen komt een stalen kooiconstructie. Deze verpakkingen worden door heel de wereld gebruikt voor de chemische, farmaceutische, landbouw- en voedselindustrie.Doordat het bedrijf een enorme groei doormaakt zijn wij op zoek naar productiemedewerkers!",https://www.pro-industry.nl/vacature/productiemedewerker-P074069,Ede,€2.400-2.800,3 ploegendienst,Tijdelijk met uitzicht op vast,Productie,Rubber en kunststof,vmbo,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Technisch operator,Direct in dienst als technisch operator.,Wil jij aan de slag bij de marktleider op het gebied van metalen verpakkingen? Als technisch operator bij dit mooie bedrijf heb jij een uitdagende baan die rijkelijk wordt beloond met een goed salaris. Daarnaast krijg jij alle mogelijkheden tot het volgen van opleidingen en cursussen. Jij komt direct in dienst bij deze klant en komt te werken in een 5 ploegendienst. Dus ben jij een ervaren technisch operator die toe is aan een uitdagende baan? Lees dan snel verder.,https://www.pro-industry.nl/vacature/technisch-operator-P074070,'s-hertogenbosch,€2.500-3.350,5 ploegendienst,Tijdelijk contract,"Procesoperator, productie, machineoperator, technisch overig",Dranken,mbo niveau 2,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Logistiek medeweker,Kom werken als logistiek medewerker in de 5 ploegen in de farmacie en goed verdienen!,"Ben jij op zoek naar een uitdaging als logistiek medewerker in de 5 ploegen? In deze functie werk jij gemiddeld 33,6 uur gemiddeld per week, erg veel vrije tijd dus! Jij gaat een salaris verdienen tussen de € 2600,- en € 3200,- bruto per maand, lekker toch! Ben jij op zoek naar een nieuwe uitdaging in de logistiek en beschik jij over een geldig heftruckcertificaat en ervaring? Neem dan snel contact met ons op.",https://www.pro-industry.nl/vacature/logistiek-medeweker-P074072,Olst,€2.400-3.200,5 ploegendienst,Tijdelijk met uitzicht op vast,Logistiek,Transport en logistiek,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Procesoperator,Neem jij de uitdaging aan als procesoperator?,"Heb jij altijd al in de chemie willen werken maar je hebt nog niet de perfecte werkgever gevonden? Dan hebben wij nu het perfecte bedrijf voor jou! Dit mooie bedrijf in Ritthem is gespecialiseerd in de chemische industrie en zij zijn op zoek naar ervaren procesoperators. Hier kan jij als operator veel gaan leren en jezelf verder ontwikkelen. Dit kan je doen door cursussen of trainingen intern te volgen. Jij komt terecht in een gezellig team waar jij in de 5 ploegen aan de slag gaat. Dankzij het ploegensysteem ligt jou salaris ook een stuk hoger, met de toeslag er boven op kan jij een salaris verdienen tot wel €3.600,- bruto per maand. Klinkt dat interessant en wil je meer weten? Lees dan snel verder!",https://www.pro-industry.nl/vacature/procesoperator-P074073,Vlissingen,€3.200-3.600,5 ploegendienst,Tijdelijk met uitzicht op vast,Procesoperator,Chemie,mbo niveau 3,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Gemotiveerde inpakoperator gezocht!,Woon jij in de omgeving Roosendaal en ben je op zoek naar een operator functie?,"Ben jij een grote van fan van zoetwaren en woon je in de omgeving van Roosendaal? Onze opdrachtgever is namelijk op zoek naar gemotiveerde operators die graag in de 5 ploegen willen werken. Zij zijn gespecialiseerd in het produceren, verpakken en distribueren van verschillende soorten snoepgoederen. Hier heb jij veel doorgroei- en ontwikkelingsmogelijkheden waardoor jij als operator een echte allrounder kan gaan worden. Klinkt dit interessant en wil jij een salaris verdienen dat kan oplopen tot wel €3.400,- bruto per maand? Lees dan snel verder!",https://www.pro-industry.nl/vacature/gemotiveerde-inpakoperator-gezocht-P074074,Goes,€2.800-3.400,5 ploegendienst,Tijdelijk met uitzicht op vast,"Procesoperator, machineoperator",Voedingsmiddelen,mbo niveau 3,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Technische monteur,Heb jij 2 rechterhanden?,"Ben jij een handig persoon en heb je veel verstand van techniek? Wij zijn op zoek naar een gemotiveerde monteur die in een internationaal bedrijf aan de slag wilt gaan. Zij zijn een een verpakkingsbedrijf en jij moet hier niet bang wezen zelf beslissingen te maken. Werkzaam in een 2 ploegenrooster kan jij een geweldig salaris verdienen wat kan oplopen tot wel €4.200,- bruto per maand inclusief de ploegentoeslag. Wil jij jezelf verder ontwikkelen en nog verder doorgroeien als monteur? Bekijk dan snel de rest van de vacature!",https://www.pro-industry.nl/vacature/technische-monteur-P074075,Bergen op zoom,€3.200-4.200,2 ploegendienst,Tijdelijk met uitzicht op vast,"Technisch overig, technische dienst",Machines en assemblage,mbo niveau 3,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Allround storingsmonteur 5-ploegen,Ben jij een ervaren storingsmonteur met ervaring in de voeding en sta je open voor de 5-ploegendienst?,Begint jouw bloed sneller te stromen bij het verrichten van preventieve onderhoudswerkzaamheden? Voor een opdrachtgever in de omgeving Heerenveen zijn we op zoek naar een allround storingsmonteur die ervaring heeft in de voedingsmiddelenindustrie. Kun jij goed werken met complexe proces installaties? Reageer dan snel!,https://www.pro-industry.nl/vacature/allround-storingsmonteur-5-ploegen-P073804,Heerenveen,€2.800-3.800,5 ploegendienst,Tijdelijk met uitzicht op vast,Technische dienst,Voedingsmiddelen,mbo niveau 3,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Assemblagemedewerker,Als assemblagemedewerker aan de slag in de dagdienst?,"Beschik jij over een winnaarsmentaliteit en technische ervaring?! Als assemblagemedewerker bij dit sportief en groeiend bedrijf kun jij tot wel € 2.200,- bruto per maand verdienen in de dagdienst! Spreek deze vacature in de sport- en high tech industrie je aan? Lees dan verder of neem direct contact op.",https://www.pro-industry.nl/vacature/assemblagemedewerker-P073807,Haarlem,€2.000-2.450,Dagdienst,Tijdelijk met uitzicht op vast,Technisch overig,Machines en assemblage,basisonderwijs,,40 uur,2022-12-19 19:37:33.192229
Operator,Operator - Fulltime - 3-ploegen,"Binnen de kunststof verwerkende industrie tot wel € 3.000,- bruto verdienen in de 3-ploegendienst? Dan is dit je kans! Oneindige doorgroeimogelijkheden binnen een super geavanceerd machinepark, volop ruimte voor persoonlijke ontwikkeling middels interne opleidingen en cursussen. Enthousiast? Lees dan gauw verder!",https://www.pro-industry.nl/vacature/operator-P073808,Hoogeveen,€2.500-3.000,3 ploegendienst,Detachering / interim / zzp,Procesoperator,Rubber en kunststof,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,"Foodsector - fulltime - €2.850,-","Wil jij als operator bijdragen aan het produceren van gezonde voeding als operator in de voedingsmiddelenindustrie? Deze organisatie houdt zich voornamelijk bezig met het bereiden en verkopen van plantaardige voeding die alleen duurzaam, gezond en vriendelijk voor het milieu is, maar vooral ontzettend lekker. Wil jij een startsalaris verdienen tot €2.850,- bruto inclusief ploegentoeslag en aan de slag als operator in een 3 ploegendienst? Lees dan snel verder!",https://www.pro-industry.nl/vacature/operator-P073814,Heerlen,€2.600-2.850,3 ploegendienst,Tijdelijk met uitzicht op vast,Machineoperator,Voedingsmiddelen,mbo niveau 1,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Expeditiemedewerker dagdienst,Voer jij je werk altijd steengoed uit?,Ben jij toe aan een logistieke uitdaging? Wil jij dus aan de slag in de dagdienst en daarbij een leuk salaris verdienen? Dan kan dit zomaar een hele mooie vacature voor jou zijn! Dit productiebedrijf ligt gelegen in Tegelen en is een producent van dakpannen. Deze worden geproduceerd in een zeer mooie hightech dakpannenfabriek.,https://www.pro-industry.nl/vacature/expeditiemedewerker-dagdienst-P075191,Venlo,€2.200-2.400,Dagdienst,Tijdelijk met uitzicht op vast,Logistiek,Beton en keramisch,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Logistiek medewerker,"Een mooi salaris verdien als logistiek medewerker dat op kan lopen tot de €2.800,-!","Het bedrijf waar jij zal komen te werken is de grootste onafhankelijke glasgroothandel en glasindustrie in de Benelux. Ze beheren een wereldwijd netwerk, met moderne productiefaciliteiten. Ze zijn op zoek naar een logistiek medewerker. Als logistiek medewerker kom je terecht binnen een groeiende organisatie. Je zal komen te werken in een 2 ploegendienst waarvoor je een mooie toeslag ontvangt.",https://www.pro-industry.nl/vacature/logistiek-medewerker-P074453,Dordrecht,€2.600-2.800,2 ploegendienst,Tijdelijk met uitzicht op vast,Logistiek,Transport en logistiek,basisonderwijs,,40 uur,2022-12-19 19:37:33.192229
Operator 3-ploegen,Jezelf flink ontwikkelen binnen deze gigant in de printindustrie?,"Ben jij een ervaren operator die zich bij deze mooie organisatie volledig in wil zetten ten behoeve van het complexe proces? En wil jij hier een lekker salaris tot € 3450,- bruto per maand inclusief ploegentoeslag bij verdienen? Dan is deze vacature ongetwijfeld interessant voor jou! Bij dit bedrijf zijn ze gespecialiseerd in het produceren van diverse producten voor de printindustrie.",https://www.pro-industry.nl/vacature/operator-3-ploegen-P075193,Venlo,€2.800-3.450,3 ploegendienst,Tijdelijk met uitzicht op vast,Procesoperator,Grafisch en drukkerij,mbo niveau 3,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Procesoperator,Procesoperator,"Ben jij een gedreven operator die goed wil verdienen en op zoek is naar een baan vol variatie? Wij hebben momenteel een top vacature beschikbaar in de 5-ploegendienst. Je kan een uitstekend startsalaris gaan verdienen wat kan oplopen tot € 3.500,- bruto per maand inclusief ploegentoeslag. Binnen dit bedrijf wordt gelatine en collageen geproduceerd uit varkenshuiden. De afgelopen jaren is de productiecapaciteit met ruim 25% vergroot en er wordt volop gewerkt aan verdere uitbreiding. Zit jij momenteel prima bij je huidige werkgever maar ben je op zoek naar beter? Neem contact met ons op!",https://www.pro-industry.nl/vacature/procesoperator-P074455,Emmen,€3.000-3.800,5 ploegendienst,Tijdelijk met uitzicht op vast,Procesoperator,Voedingsmiddelen,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Monteur watertechniek,Ben jij de perfecte monteur?,"Wil jij in de groensector als monteur in de dagdienst aan de slag? Dan is dit wellicht een mooie uitdaging voor jou. Deze functie heeft een bijpassend salaris oplopend tot €2900,- bruto per maand!

Jij gaat aan de slag bij een organisatie die zich bezighoudt met de glas- en tuinbouw. Dit bedrijf is gericht op het aanleggen van diverse soorten teeltvloeren en het installeren van beregeningssystemen. Je gaat samen met jouw collega's dagelijks op pad langs verschillende bedrijven in de groensector. Hier zal jij buiten of binnen bezig zij met het aanleggen en installeren van verschillende installaties en structuren.


Is jouw interesse gewekt? Twijfel dan niet en lees snel verder!",https://www.pro-industry.nl/vacature/monteur-watertechniek-P074456,Leiden,€2.250-2.900,Dagdienst,Tijdelijk contract,Technische dienst,Water,mbo niveau 1,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Onderhoudsmonteur,Wil jij als onderhoudsmonteur aan de slag?,"Sta jij aan het begin van jouw loopbaan, ben jij toe aan een baan waar jij de vrijheid krijgt om te werken aan je persoonlijke ontwikkeling, ben jij ambitieus en wil jij je bezig houden met een groot arsenaal aan werkzaamheden? Jij komt terecht in een omgeving waarin jij jezelf kunt ontwikkelen tot een volmondig monteur binnen de procesindustrie, daarnaast zul jij je bezig houden met zowel mechanische als elektrotechnische werkzaamheden houden. Van bestuurstechnische storingen tot aan mechanische storingen, jij weet ze op te lossen en jij zorgt ervoor dat alles op rolletjes kan lopen.",https://www.pro-industry.nl/vacature/onderhoudsmonteur-P075750,Moerdijk,€2.800-3.700,5 ploegendienst,Vast contract,"Technisch overig, technische dienst","Machines en assemblage, technologie",mbo niveau 3,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Elektromonteur moerdijk,Een aantrekkelijk salaris verdienen als elektromonteur in de dagdienst?,Als jij op zoek bent naar een veelzijdige functie met afwisseling en veel uitdaging als elektromonteur dan ben je bij ons aan het juiste adres! Je zal hier te werk gaan in een internationale organisatie in de chemische industrie waarbij er veel doorgroeimogelijkheden zijn. Daarbij zul jij je werkzaamheden gaan verrichten in de dagdienst. Wanneer jij hier aan de slag gaat dan word je onderdeel van een vooruitstrevende familie. Wil jij het beste uit jezelf halen? Lees dan verder!,https://www.pro-industry.nl/vacature/elektromonteur-moerdijk-P075754,Moerdijk,€2.600-3.200,Dagdienst,Tijdelijk met uitzicht op vast,"Technisch overig, technische dienst","Servicetechniek, technologie",mbo niveau 3,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Productiemedewerker,Ben jij die topper zonder inpakken-en-wegwezen mentaliteit?,Altijd al willen werken in een industriële omgeving? Weet jij hoe het is om verantwoordelijke bezigheden om te gaan. Houd jij juist van aanpakken en zit jij niet graag stil? Vind jij het geen probleem om daar waar nodig een stapje extra te zetten? Klinkt het werken bij een jong en dynamisch bedrijf voor jou als muziek in de oren? Lees dan snel verder!,https://www.pro-industry.nl/vacature/productiemedewerker-P075755,Moerdijk,€2.400-2.900,3 ploegendienst,Tijdelijk met uitzicht op vast,Machineoperator,Metaal,vmbo,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Inpakmedewerker,Ben jij die topper zonder inpakken-en-wegwezen mentaliteit?,Weet jij wat het is om te werken binnen een industriële omgeving? Vind jij het geen probleem om daar waar nodig een stapje extra te zetten? Klinkt het werken bij een jong en dynamisch bedrijf voor jou als muziek in de oren? Schuw jij fysieke werkzaamheden niet? Lees dan snel verder!,https://www.pro-industry.nl/vacature/inpakmedewerker-P075756,Moerdijk,€2.400-2.900,3 ploegendienst,Tijdelijk met uitzicht op vast,Productie,Metaal,vmbo,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
